id,sn,name,count,region,address,phone,Latitude,Longitude
8,M1526,合記,10,台中市,台中市大里市愛心一街20號,04-24062757,24.1006989,120.6808984
14,M1617,榮華行,20,台中市,台中市大里區仁化路310巷9號,04-24922552,24.1006989,120.6808984
11,M1588,英辰,121,台中市,台中市大里區化工19路6號,04-24919666,24.0947337,120.7086461
17,M1634,順發商行,25,台中市,台中市北屯區豐樂路11-1號,04-24220129,24.0921901,120.7257732
15,M1630,這一鍋餐飲,191,台中市,台中市西屯區工業區32路51號,04-36093100,24.1936472,120.6852512
10,M1587,青海行,20,台中市,台中市西屯區光明路52號,04-24521699,24.1673406,120.5873798
16,M1633,大謹發農產,50,台中市,台中市沙鹿區福至路150巷10-1號,04-26625943,24.173731,120.637574
12,M1593,美食達人,229,台中市,台中市南屯區工業區23路30號,04-36091465,24.2254792,120.5629406
1,M1057,忠興,524,台中市,台中市南屯路2段162巷1號,04-24753818,24.1648648,120.5970558
9,M1569,宏茆,83,台中市,台中市烏日區環中路七段221~223號,04-23363030,24.145828,120.6360613
5,M1211,品欣食品,450,台中市,台中市神岡區中山路228號,04-25240698,24.0970628,120.6503834
226,T1214,盛香珍,491,台中市,台中市梧棲區自強一街146號,042-6352711,24.2485506,120.6929716
13,M1612,立晟食品,51,台中市,台中市潭子區中山路三段491號,04-25317979,24.2401137,120.5281928
2,M1060,吉星,30,台中縣,台中縣大甲鎮信義路44號,04-26884381,24.230284,120.7085078
19,M1955,麥可利,40,台中縣,台中縣神岡鄉社口街10巷10號,04-25633579,24.346883,120.619286
233,T2001,味王,345,台北市,台北市中山北路二段79號5樓,022-5717271-517,24.2480989,120.6868966
89,N3400,皇品,3,台北市,台北市內湖區內湖路一段203巷11號,02-27971305,25.185444,121.44414
230,T1377,工研,4611,台北市,台北市信義區忠孝東路四段559巷38號2樓,04-2407-8114,25.0841755,121.5636492
95,N3485,美加源,10,台北市,台北市龍江路356巷68號1樓,02-25153071,25.0431929,121.5637291
78,N3009,佛晨,453,台北市,台北市龍江路429巷8號1樓,02-25024707,25.0658949,121.5381709
182,S3472,家華,178,台東市,台東市中華路一段２２７號,089-343780,25.0666923,121.5415504
183,S3474,三能,100,台東市,台東市四維路一段５１２號,089-353589,22.7564782,121.1553201
